NOMBRE,POBLACION,SUPERFICIE,CONTINENTE
Alemania,85000000,357114,Europa
Angola,37000000,1246700,África
Arabia Saudita,37000000,2149690,Asia
Argelia,46000000,2381741,África
Argentina,46000000,2780400,América
Australia,26000000,7692024,Oceanía
Canadá,40000000,9984670,América
Chile,19000000,756102,América
Colombia,52000000,1141748,América
Corea del Sur,51000000,100210,Asia
Costa Rica,5000000,51100,América
Egipto,114000000,1001450,África
España,48000000,505992,Europa
Francia,69000000,551695,Europa
Ghana,34000000,238533,África
Grecia,10000000,131957,Europa
Irak,46000000,438317,Asia
Irán,84000000,1648195,Asia
Italia,59000000,301340,Europa
Kazajistán,19000000,2724900,Asia
Kenia,55000000,580367,África
Malasia,34000000,329847,Asia
Marruecos,37000000,446550,África
Nigeria,223000000,923768,África
Noruega,5000000,323802,Europa
Perú,34000000,1285216,América
Polonia,37000000,312679,Europa
Portugal,10000000,92090,Europa
R. D. del Congo,102000000,2344858,África
Reino Unido,69000000,242900,Europa
Sudáfrica,62000000,1221037,África
Suecia,10000000,450295,Europa
Suiza,8000000,41277,Europa
Tailandia,71000000,513120,Asia
Ucrania,33000000,603550,Europa
Venezuela,29000000,916445,América
Vietnam,100000000,331210,Asia
India,1440000000,3287263,Asia
China,1425000000,9596961,Asia
Estados Unidos,342000000,9833520,América
Indonesia,279000000,1904569,Asia
Pakistán,244000000,881913,Asia
Brasil,213000000,8515767,América
Bangladesh,177000000,147570,Asia
Rusia,144000000,17098242,Europa
México,129000000,1964375,América
Japón,124000000,377915,Asia
Etiopía,120000000,1104300,África
Filipinas,118000000,300000,Asia
Turquía,85000000,783562,Europa
